mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
structure_gel,Structure Gel API,2.16.2,structure_gel-1.20.1-2.16.2.jar,,https://moddinglegacy.com/,https://gitlab.com/modding-legacy/structure-gel-api/-/issues
repurposed_structures,Repurposed Structures,7.1.15+1.20.1-forge,repurposed_structures-7.1.15+1.20.1-forge.jar,,https://www.curseforge.com/minecraft/mc-mods/repurposed-structures,https://github.com/TelepathicGrunt/RepurposedStructures/issues
fabric_game_rule_api_v1,Fabric Game Rule API (v1),1.0.40+683d4da877,fabric-game-rule-api-v1-1.0.40+683d4da877.jar,,,
goodending,GoodEnding,1.20.1-1.0.1,GoodEnding-1.20.1-1.0.1-Forge.jar,,,
explorify,Explorify,1.4.0,explorify-v1.4.0.jar,,https://modrinth.com/datapack/explorify,
blur,Blur (Forge),3.1.1,blur-forge-3.1.1.jar,,https://curseforge.com/minecraft/mc-mods/blur-forge,https://github.com/dima-dencep/blur-forge/issues
w2pets,Waystones Teleport Pets,1.0,WaystonesTeleportPets-1.20-1.20.1--1.2.jar,,,
dungeons_plus,Dungeons Plus,1.5.0,dungeons_plus-1.20.1-1.5.0.jar,,https://moddinglegacy.com/,https://gitlab.com/groups/modding-legacy/-/issues
amplified_nether,Amplified Nether,1.2.5,Amplified_Nether_1.20.x_v1.2.5.jar,,https://www.stardustlabs.net/,https://github.com/Stardust-Labs-MC/Amplified-Nether/issues
volcanic_caverns,Volcanic Caverns,1.2.5,volcanic_caverns-1.2.5.jar,,,
resourcefulconfig,Resourcefulconfig,2.1.2,resourcefulconfig-forge-1.20.1-2.1.2.jar,,,https://github.com/Team-Resourceful/Resouceful-Config/issues
bendylib,Bendy lib,4.0.0,bendy-lib-forge-4.0.0.jar,,,
highlighter,Highlighter,1.1.9,Highlighter-1.20.1-forge-1.1.9.jar,,https://anthonyhilyard.com/,
spark,spark,1.10.53,spark-1.10.53-forge.jar,,,
create_sabers,Create Sabers,1.3.0,create_sabers-1.20.1-1.3.0.jar,,https://www.curseforge.com/minecraft/mc-mods/create-sabers,
curios,Curios API,5.9.1+1.20.1,curios-forge-5.9.1+1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/curios,https://github.com/TheIllusiveC4/Curios/issues
oculus,Oculus,1.7.0,oculus-mc1.20.1-1.7.0.jar,,https://curseforge.com/minecraft/mc-mods/oculus,https://github.com/Asek3/Oculus/issues
mynethersdelight,My Nether's Delight,1.20.1-1.1,MyNethersDelight-1.20.1-0.1.1.jar,,,
searchables,Searchables,1.0.3,Searchables-forge-1.20.1-1.0.3.jar,,https://minecraft.curseforge.com/projects/searchables,https://github.com/jaredlll08/searchables/issues
backported_wolves,Backported Wolves,1.0.3-1.20.1,backported_wolves-1.0.3-1.20.1.jar,,,
eldritch_end,Eldritch End,0.2.31,Eldritch_End-FORGE-MC1.20.1-0.2.31_mapped_srg_1.20.1.jar,https://curseforge.com/members/elocindev/projects,https://curseforge.com/members/elocindev/projects,
yungsextras,YUNG's Extras,1.20-Forge-4.0.3,YungsExtras-1.20-Forge-4.0.3.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-extras,https://github.com/yungnickyoung/YUNGs-Extras/issues
mr_dungeons_andtaverns,Dungeons and Taverns,3.0.3.f,dungeons-and-taverns-3.0.3.f[Forge].jar,,https://modrinth.com/datapack/dungeons-and-taverns,https://github.com/NovaWostra/Dungeons-and-Taverns/issues
fabric_entity_events_v1,Fabric Entity Events (v1),1.6.0+6274ab9d77,fabric-entity-events-v1-1.6.0+6274ab9d77.jar,,,
queen_bee,Queen Bee,3.1.4,QueenBee-Forge-1.20.1-3.1.4.jar,,https://www.curseforge.com/minecraft/mc-mods/queen-bee,https://github.com/CerbonXD/QueenBeeMod/issues
chimes,Chimes,2.0.1,Chimes-v2.0.1-1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/chimes,
betterendisland,YUNG's Better End Island,1.20-Forge-2.0.6,YungsBetterEndIsland-1.20-Forge-2.0.6.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-end-island,https://github.com/yungnickyoung/YUNGs-Better-End-Island/issues
fabric_rendering_data_attachment_v1,Fabric Rendering Data Attachment (v1),0.3.37+a6081afc77,fabric-rendering-data-attachment-v1-0.3.37+a6081afc77.jar,,,
sizeshiftingpotions,Size Shifting Potions,1.7.1,sizeshiftingpotions-1.7.1-forge.jar,,,https://github.com/UltrusBot/SizeShiftingPotions/issues
caveoverhaul,WF's Cave Overhaul,1.2.2,caveoverhaul-forge-1.20.1-1.2.2-fixed.jar,,,
scalinghealth,Scaling Health,8.0.2+9,ScalingHealth-1.20.1-8.0.2+9.jar,,,https://github.com/SilentChaos512/ScalingHealth
bettermineshafts,YUNG's Better Mineshafts,1.20-Forge-4.0.4,YungsBetterMineshafts-1.20-Forge-4.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-mineshafts-forge,https://github.com/yungnickyoung/YUNGs-Better-Mineshafts/issues
prettybeaches,Pretty Beaches,11.0.1,prettybeaches-forge-1.20-11.0.1.jar,,https://mods.twelveiterations.com/mc/prettybeaches,https://github.com/TwelveIterationMods/PrettyBeaches/issues
sliceanddice,Create Slice & Dice,3.2.0,sliceanddice-forge-3.2.0.jar,,,https://github.com/pssbletrngle/sliceanddice/issues
nebs,Neko's Enchanted Books,1.8.0,NekosEnchantedBooks-1.20.1-1.8.0.jar,,,
betterjungletemples,YUNG's Better Jungle Temples,1.20-Forge-2.0.5,YungsBetterJungleTemples-1.20-Forge-2.0.5.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-jungle-temples,https://github.com/yungnickyoung/YUNGs-Better-Jungle-Temples/issues
fabric_client_tags_api_v1,Fabric Client Tags,1.1.2+5d6761b877,fabric-client-tags-api-v1-1.1.2+5d6761b877.jar,,,
fabric_dimensions_v1,Fabric Dimensions API (v1),2.1.54+8005d10d77,fabric-dimensions-v1-2.1.54+8005d10d77.jar,,,
elytraslot,Elytra Slot,6.3.0+1.20.1,elytraslot-forge-6.3.0+1.20.1.jar,,,https://github.com/illusivesoulworks/elytraslot/issues
mr_subsurface,Subsurface,1.0,subsurface-1.0.jar,,https://modrinth.com/datapack/subsurface,https://www.planetminecraft.com/data-pack/subsurface/
quarkoddities,Quark Oddities,1.20.1,QuarkOddities-1.20.1.jar,,,https://github.com/Vazkii/Quark
kiwi,Kiwi Library,11.8.8+forge,Kiwi-1.20.1-Forge-11.8.8.jar,,https://www.curseforge.com/minecraft/mc-mods/kiwi,
bellsandwhistles,Create: Bells & Whistles,0.4.3-1.20.x,bellsandwhistles-0.4.3-1.20.x.jar,,,
mr_ctov_farmersdelightcompat,CTOV - Farmer Delight Compat,2.1,ctov-farmers-delight-compat-2.1.jar,,https://modrinth.com/datapack/ctov-farmers-delight-compat,https://github.com/ChoiceTheorem/ChoiceTheorem-s-overhauled-village/issues
mr_ctov_createstructures,CTOV - Create: Structures,1.0,ctov-create-structures-1.0.jar,,https://modrinth.com/mod/ctov-create-structures,
createbigcannons,Create Big Cannons,0.5.4-nightly-8b9cea6,createbigcannons-forge-1.20.1-0.5.4.jar,,,https://github.com/Cannoneers-of-Create/CreateBigCannons/issues
fastload,Fastload-Reforged,3.4.0,Fastload-Reforged-mc1.20.1-3.4.0.jar,,https://www.curseforge.com/minecraft/mc-mods/fastload,https://github.com/BumbleSoftware/Fastload/issues
endertrigon,Ender Trigon,1.0,endertrigon-1.20.1-1.0.jar,,,
hitmarker,HitMarker,0,HitMarker-forge-1.20.1-0.jar,,,
fabric_model_loading_api_v1,Fabric Model Loading API (v1),1.0.3+6274ab9d77,fabric-model-loading-api-v1-1.0.3+6274ab9d77.jar,,,
jei,Just Enough Items,15.3.0.4,jei-1.20.1-forge-15.3.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/jei,https://github.com/mezz/JustEnoughItems/issues?q=is%3Aissue
cgm,MrCrayfish's Gun Mod,1.4.17,CGM-Unofficial-1.4.17+Forge+1.20.1.jar,,https://mrcrayfish.com/,
lithostitched,Lithostitched,1.1.5,lithostitched-forge-1.20.1-1.1.5.jar,,,https://github.com/Apollounknowndev/lithostitched/issues
pehkui,Pehkui,3.8.0+1.20.1-forge,Pehkui-3.8.0+1.20.1-forge.jar,,https://www.curseforge.com/minecraft/mc-mods/pehkui/,https://github.com/Virtuoel/Pehkui/issues
fabric_screen_handler_api_v1,Fabric Screen Handler API (v1),1.3.30+561530ec77,fabric-screen-handler-api-v1-1.3.30+561530ec77.jar,,,
libraryferret,Library ferret,4.0.0,libraryferret-forge-1.20.1-4.0.0.jar,,https://www.curseforge.com/minecraft/mc-mods/library-ferret-forge,
caelus,Caelus API,3.2.0+1.20.1,caelus-forge-3.2.0+1.20.1.jar,,https://github.com/TheIllusiveC4/Caelus,https://github.com/TheIllusiveC4/Caelus/issues
immersive_weathering,Immersive Weathering,1.20.1-2.0.2,immersive_weathering-1.20.1-2.0.2-forge.jar,,,
fabric_rendering_v1,Fabric Rendering (v1),3.0.8+66e9a48f77,fabric-rendering-v1-3.0.8+66e9a48f77.jar,,,
passablefoliage,Passable Foliage,8.2.1,PassableFoliage-1.20.1-forge-8.2.1.jar,,https://minecraft.curseforge.com/projects/passable-foliage,
fabric_renderer_indigo,Fabric Renderer - Indigo,1.5.1+67f9824077,fabric-renderer-indigo-1.5.1+67f9824077.jar,,,
fallingleaves,Falling Leaves,2.1.0,Fallingleaves-1.20.1-2.1.0.jar,,,https://github.com/Cheaterpaul/fallingleaves/issues
integrated_api,Integrated API,1.5.1+1.20.1-forge,integrated_api-1.5.1+1.20.1-forge.jar,,https://www.curseforge.com/minecraft/mc-mods/integrated_api,
mr_ctov_domesticatedinnovationcompat,CTOV - Domesticated Innovation Compat,2.0,ctov-domesticated-innovation-compat-2.0.jar,,https://modrinth.com/datapack/ctov-domesticated-innovation-compat,
create_wizardry,Create: Wizardry,1.20.10.2.0,create_wizardry-1.20.1-0.2.0.jar,,https://mcreator.net,
connectorextras_geckolib_fabric_compat,Connector Extras Geckolib-Fabric Compat,1.10.1+1.20.1,geckolib-fabric-compat-1.10.1+1.20.1.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
snowundertrees,Snow Under Trees,1.4.4,snowundertrees-1.20.1-1.4.4.jar,,https://www.curseforge.com/minecraft/mc-mods/snow-under-trees,
midnightlib,MidnightLib,1.4.2,midnightlib-forge-1.4.2.jar,,,
starlight,Starlight,1.1.2+forge.1cda73c,starlight-1.1.2+forge.1cda73c.jar,,https://www.curseforge.com/minecraft/mc-mods/starlight-forge,
creature_compendium,Creature Compendium,1.2.1,creature_compendium-1.2.1.jar,,,
mythicmobs,Mythic Mobs,1.20.1-connector-1.4.5,mythicmobs-1.20.1-connector-1.4.5_mapped_srg_1.20.1.jar,https://pixeldreamstudios.net,https://pixeldreamstudios.net,
memoryleakfix,Memory Leak Fix,1.1.5,memoryleakfix-forge-1.17+-1.1.5.jar,,,https://github.com/fxmorin/memoryleakfix/issues
fabric_particles_v1,Fabric Particles (v1),1.1.2+78e1ecb877,fabric-particles-v1-1.1.2+78e1ecb877.jar,,,
puzzlesaccessapi,Puzzles Access Api,8.0.7,puzzlesaccessapi-forge-8.0.7.jar,,https://github.com/Fuzss/puzzlesaccessapi,https://github.com/Fuzss/puzzlesaccessapi/issues
missingwilds,Missing Wilds,1.2.1+1.20.1,MissingWilds-forge-1.2.1+1.20.1.jar,,,https://github.com/UltrusBot/missing-wilds/issues
forge,Forge,47.2.32,forge-1.20.1-47.2.32-universal.jar,,https://minecraftforge.net/,https://minecraftforge.net/
idas,Integrated Dungeons and Structures,1.9.3+1.20.1,idas_forge-1.9.3+1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/idas,
bestylewither,BE Style Wither,1.6.1,bestylewither-forge-mc1.20-1.6.1.jar,,https://www.curseforge.com/minecraft/mc-mods/be-style-wither,https://github.com/MORIMORI0317/BEStyleWither/issues
tectonic,Tectonic,2.3.4,tectonic-forge-1.19.3-2.3.4.jar,,,
minecraft,Minecraft,1.20.1,client-1.20.1-20230612.114412-srg.jar,,,
smoothchunk,Smoothchunk mod,1.20.1-3.6,smoothchunk-1.20.1-3.6.jar,,,
logprot,Logprot,1.4,logprot-1.20.1-3.4.jar,,https://github.com/ldtteam/Logprot/,https://github.com/ldtteam/Performant/issues
terrablender,TerraBlender,3.0.1.6,TerraBlender-forge-1.20.1-3.0.1.6.jar,,,https://github.com/Glitchfiend/TerraBlender/issues
biomesoplenty,Biomes O' Plenty,18.0.0.598,BiomesOPlenty-1.20.1-18.0.0.598.jar,,,https://github.com/Glitchfiend/BiomesOPlenty/issues
fabric_api_base,Fabric API Base,0.4.31+ef105b4977,fabric-api-base-0.4.31+ef105b4977.jar,,,
mousetweaks,Mouse Tweaks,2.25.1,MouseTweaks-forge-mc1.20.1-2.25.1.jar,,https://minecraft.curseforge.com/projects/mouse-tweaks,https://github.com/YaLTeR/MouseTweaks/issues
bettercombat,Better Combat,1.8.5+1.20.1,bettercombat-forge-1.8.5+1.20.1.jar,,,
combatroll,Combat Roll,1.3.2+1.20.1,combatroll-forge-1.3.2+1.20.1.jar,,,https://github.com/ZsoltMolnarrr/CombatRoll/issues
necronomicon,Necronomicon,1.4.2,Necronomicon-Forge-1.4.2.jar,,,
awesomedungeonnether,Awesome dungeon nether,3.1.1,awesomedungeonnether-forge-1.20.1-3.1.1.jar,,https://www.curseforge.com/minecraft/mc-mods/awesome-dungeon-nether-forge,
herdmentality,HerdMentality,12.0.3,HerdMentality-Forge-1.20.1-12.0.3.jar,,https://www.curseforge.com/minecraft/mc-mods/herd-mentality,https://github.com/Darkhax-Minecraft/herd-mentality/issues
spectrelib,SpectreLib,0.13.15+1.20.1,spectrelib-forge-0.13.15+1.20.1.jar,,https://github.com/illusivesoulworks/spectrelib,https://github.com/illusivesoulworks/spectrelib/issues
fabric_block_api_v1,Fabric Block API (v1),1.0.11+0e6cb7f777,fabric-block-api-v1-1.0.11+0e6cb7f777.jar,,,
connectorextras_jei_bridge,Connector Extras JEI Bridge,1.10.1+1.20.1,jei-bridge-1.10.1+1.20.1.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
fabric_resource_conditions_api_v1,Fabric Resource Conditions API (v1),2.3.8+9ad825cd77,fabric-resource-conditions-api-v1-2.3.8+9ad825cd77.jar,,,
forgeconfigapiport,Forge Config API Port (ConnectorExtras),8.0.0,forgeconfigapiport-1.10.1+1.20.1.jar,,https://github.com/Sinytra/ConnectorExtras,https://github.com/Sinytra/ConnectorExtras/issues
kotlinforforge,Kotlin For Forge,4.10.0,kffmod-4.10.0.jar,,,
notenoughanimations,NotEnoughAnimations,1.7.3,notenoughanimations-forge-1.7.3-mc1.20.1.jar,,https://modrinth.com/mod/not-enough-animations,https://github.com/tr7zw/NotEnoughAnimations/issues
flywheel,Flywheel,0.6.10-7,flywheel-forge-1.20.1-0.6.10-7.jar,,https://www.curseforge.com/minecraft/mc-mods/flywheel,https://github.com/Jozufozu/Flywheel/issues
ecologics,Ecologics,2.2.0,ecologics-forge-1.20.1-2.2.0.jar,,https://www.curseforge.com/minecraft/mc-mods/ecologics,https://github.com/samedifferent/Ecologics/issues
integrated_stronghold,Integrated Stronghold,1.1.1+1.20.1-forge,integrated_stronghold-1.1.1+1.20.1-forge.jar,,https://www.curseforge.com/minecraft/mc-mods/integrated-stronghold,
fabric_item_group_api_v1,Fabric Item Group API (v1),4.0.12+c9161c2d77,fabric-item-group-api-v1-4.0.12+c9161c2d77.jar,,,
polymorph,Polymorph,0.49.5+1.20.1,polymorph-forge-0.49.5+1.20.1.jar,,,https://github.com/illusivesoulworks/polymorph/issues
zeta,Zeta,1.0-16,Zeta-1.0-16.jar,,,https://github.com/VazkiiMods/Zeta
entityculling,EntityCulling,1.6.5,entityculling-forge-1.6.5-mc1.20.1.jar,,https://modrinth.com/mod/entityculling,https://github.com/tr7zw/EntityCulling/issues
canary,Canary,0.3.3,canary-mc1.20.1-0.3.3.jar,,https://www.curseforge.com/minecraft/mc-mods/canary,https://github.com/AbdElAziz333/Canary/issues
ambientenvironment,Ambient Environment,11.0.0.1,AmbientEnvironment-forge-1.20.1-11.0.0.1.jar,,https://www.curseforge.com/minecraft/mc-mods/ambient-environment,https://github.com/jaredlll08/Ambient-Environment/issues
fabric_registry_sync_v0,Fabric Registry Sync (v0),2.3.3+1c0ea72177,fabric-registry-sync-v0-2.3.3+1c0ea72177.jar,,,
immediatelyfast,ImmediatelyFast,1.2.15+1.20.4,ImmediatelyFast-Forge-1.2.15+1.20.4.jar,,,https://github.com/RaphiMC/ImmediatelyFast/issues
blue_endless_jankson,jankson,1.2.2,wakes-0.2.4+1.20.1$jankson-1.2.2_mapped_srg_1.20.1.jar,,,
appleskin,AppleSkin,2.5.1+mc1.20.1,appleskin-forge-mc1.20.1-2.5.1.jar,,https://github.com/squeek502/AppleSkin,https://github.com/squeek502/AppleSkin
fabric_recipe_api_v1,Fabric Recipe API (v1),1.0.21+514a076577,fabric-recipe-api-v1-1.0.21+514a076577.jar,,,
fabric_object_builder_api_v1,Fabric Object Builder API (v1),11.1.3+2174fc8477,fabric-object-builder-api-v1-11.1.3+2174fc8477.jar,,,
visuality,Visuality: Reforged,2.0.2,visuality-forge-2.0.2.jar,,https://www.curseforge.com/minecraft/mc-mods/visuality-forge,https://github.com/ChannelingMC/visuality-forge/issues/
biomemusic,biomemusic mod,1.20.1-2.3,biomemusic-1.20.1-2.3.jar,,,
puzzleslib,Puzzles Lib,8.1.20,PuzzlesLib-v8.1.20-1.20.1-Forge.jar,,https://github.com/Fuzss/puzzleslib,https://github.com/Fuzss/puzzleslib/issues
smoothswapping,Smooth Swapping,0.9.2,smoothswapping-0.9.2-1.20.1-forge.jar,,,https://github.com/Schauweg/Smooth-Swapping/issues
mns,Moog's Nether Structures,1.0.1-1.20-forge,mns-1.0.1-1.20-forge.jar,,,
fabric_sound_api_v1,Fabric Sound API (v1),1.0.13+4f23bd8477,fabric-sound-api-v1-1.0.13+4f23bd8477.jar,,,
dawnera,TheDawnEra,0.58.94,thedawnera-1.20.1-0.58.94.jar,,,
immersive_melodies,Immersive Melodies,0.1.2+1.20.1,immersive_melodies-0.1.2+1.20.1-forge.jar,,https://www.curseforge.com/minecraft/mc-mods/ImmersiveMelodies,https://github.com/Luke100000/ImmersiveMelodies/issues
fabric_message_api_v1,Fabric Message API (v1),5.1.9+52cc178c77,fabric-message-api-v1-5.1.9+52cc178c77.jar,,,
create_oppenheimered,Create: Oppenheimered,1.0.2,create_oppenheimered-1.20.1-1.0.2.jar,,,
phantasm,End's Phantasm,0.2,phantasm-forge-0.2.jar,,,
responsiveshields,Responsive Shields,2.3,responsiveshields-2.3-mc1.18-19-20.x.jar,,,https://github.com/Revvilo/Responsive-Shields/issues
weaponmaster_ydm,YDM's Weapon Master,4.2.3,weaponmaster_ydm-forge-1.20.1-4.2.3.jar,,https://www.curseforge.com/minecraft/mc-mods/ydms-weapon-master,
treechop,HT's TreeChop,0.18.8,TreeChop-1.20.1-forge-0.19.0.jar,,https://github.com/hammertater/treechop,https://github.com/hammertater/treechop/issues
fabric_renderer_api_v1,Fabric Renderer API (v1),3.2.1+1d29b44577,fabric-renderer-api-v1-3.2.1+1d29b44577.jar,,,
embeddiumplus,Embeddium++,1.2.12,embeddiumplus-1.20.1-v1.2.12.jar,,https://www.curseforge.com/minecraft/mc-mods/embeddiumplus,https://github.com/SrRapero720/EmbeddiumPlus/issues
betterwitchhuts,YUNG's Better Witch Huts,1.20-Forge-3.0.3,YungsBetterWitchHuts-1.20-Forge-3.0.3.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-witch-huts,https://github.com/yungnickyoung/YUNGs-Better-Witch-Huts/issues
netherportalfix,NetherPortalFix,13.0.1,netherportalfix-forge-1.20-13.0.1.jar,,https://mods.twelveiterations.com/mc/netherportalfix,https://github.com/TwelveIterationMods/NetherPortalFix/issues
glowroot,Glowroot,1.0.5,glowroot1.0.5.jar,,https://modrinth.com/mod/glowroot,
globalpacks,Global Packs,1.16.2_forge,global_packs-forge-1.19.4-1.16.2_forge.jar,,,
satin,Satin Forge,1.20.1+1.15.0-SNAPSHOT,satin-forge-1.20.1+1.15.0-SNAPSHOT.jar,,https://github.com/dimadencep/Satin-Forge,https://github.com/dimadencep/Satin-Forge/issues
fabric_item_api_v1,Fabric Item API (v1),2.1.28+4d0bbcfa77,fabric-item-api-v1-2.1.28+4d0bbcfa77.jar,,,
galosphere,Galosphere,1.20.1-1.4.1,Galosphere-1.20.1-1.4.1-Forge.jar,,,
com_github_jdiemke_delaunay_triangulator_delaunaytriangulator,DelaunayTriangulator,1.0.0,wakes-0.2.4+1.20.1$DelaunayTriangulator-1.0.0_mapped_srg_1.20.1.jar,,,
betteroceanmonuments,YUNG's Better Ocean Monuments,1.20-Forge-3.0.4,YungsBetterOceanMonuments-1.20-Forge-3.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-ocean-monuments,https://github.com/yungnickyoung/YUNGs-Better-Ocean-Monuments/issues
connectivity,Connectivity Mod,1.20.1-5.5,connectivity-1.20.1-5.5.jar,,,http://my.issue.tracker/
